Pétanque et jeu provencal
Ski
Tennis
Basketball
Football
Autres
Tir à l'arc
Tennis de table
Volleyball
Badminton
Handball
Twirling bâton
Gymnastique
Karaté et arts martiaux affinitaires
Boxe
Gymnastique volontaire
Montagne et escalade
Judo-jujitsu
kendo et disciplines associées
Natation
Athlétisme
Cyclisme
Randonnée pédestre
Pétanque et jeu provencal
Danse
Squash
Roller skating
Golf
Etudes et sports sous-marins
Aéronautique
Cyclotourisme
musculation
Haltérophilie
force athlétique et culturisme
Equitation
Rugby
Sports boules
Voile
Wushu Arts énergétiques et martiaux chinois
Sport automobile
Motonautique
Aïkido
aïkibudo et affinitaires
Course d'orientation
Rugby à XIII
Pelote basque
Tir
Canoë-kayak
Motocyclisme
Spéléologie
Lutte
Taekwondo et disciplines associées
Hockey
Padel
Billard
Ballon au poing
Pêche au coup
Ball-trap
Escrime
boxe francaise et disciplines associées
Savate
Full contact et disciplines associées
Vol libre
Char à voile
Sports traîneaux et ski pulka
Aeromodélisme
Bowling et sports de quilles
Planeur ulm
Sports de glace
Ski nautique
Pêche sportive à la mouche
Aviron
Echecs
Parachutisme
Sports de Contact et Disciplines Associées
Football américain
Muaythaï et disciplines associées
Vol à voile
Baseball
Course landaise
Triathlon
Sauvetage et secourisme
Aérostation
Surf
Giraviation
Jeu de balle au tambourin
Longue paume
Pêche en mer
Javelot tir sur cible
Course camarguaise
Joutes et sauvetage nautique
Jeu de paume
Pentathlon moderne
Double dutch
